--------- beginning of /dev/log/system
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MINOR=8'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0boot0'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.127 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0boot1'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MINOR=16'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0boot1'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.127 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MINOR=0'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'NPARTS=20'
01-01 08:00:03.127 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p1'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MINOR=1'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p1'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'PARTN=1'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'PARTNAME=fastboot'
01-01 08:00:03.127 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p2'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MINOR=2'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p2'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'PARTN=2'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'PARTNAME=bootargs'
01-01 08:00:03.127 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p3'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MINOR=3'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p3'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'PARTN=3'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'PARTNAME=recovery'
01-01 08:00:03.127 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p4'
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'MINOR=4'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p4'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'PARTN=4'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'PARTNAME=deviceinfo'
01-01 08:00:03.128 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p5'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'MINOR=5'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p5'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'PARTN=5'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'PARTNAME=baseparam'
01-01 08:00:03.128 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p6'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'MINOR=6'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p6'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'PARTN=6'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'PARTNAME=pqparam'
01-01 08:00:03.128 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p7'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'MINOR=7'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p7'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'PARTN=7'
01-01 08:00:03.128 D/NetlinkEvent( 1568): NL param 'PARTNAME=logo'
01-01 08:00:03.128 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.129 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p8'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'MAJOR=259'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'MINOR=0'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p8'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'PARTN=8'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'PARTNAME=logobak'
01-01 08:00:03.130 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p9'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'MAJOR=259'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'MINOR=1'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0p9'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVTYPE=partition'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'PARTN=9'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'PARTNAME=fastplay'
01-01 08:00:03.130 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0rpmb'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'MINOR=24'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0rpmb'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.130 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0boot0'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'MINOR=8'
01-01 08:00:03.130 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0boot0'
