--------- beginning of /dev/log/system
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.566 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram9'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MINOR=9'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram9'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.566 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop0'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop0'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.566 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop1'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MINOR=1'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop1'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.566 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop2'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MINOR=2'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop2'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.566 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop3'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MINOR=3'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop3'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.566 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop4'
